id,date,dateISO8601,MRS_NM_REG,MRC_CO_MRC,MRS_NM_MRC,organisation,ville,latitude,longitude,service
1,9 septembre 2024,2024-09-09,Gaspésie–Îles-de-la-Madeleine,01,Communauté maritime des Îles-de-la-Madeleine,MRC,Cap-aux-Meules,47.377430,-61.866074 ,documentation
2,19 septembre 2024,2024-09-19,Bas-Saint-Laurent,10,Rimouski-Neigette,CRD,Rimouski,48.449699,-68.529282 ,expertise-conseil
3,24 septembre 2024,2024-09-24,Bas-Saint-Laurent,14,Kamouraska,MRC,St-Pascal,47.526475,-69.807129 ,documentation
4,24 septembre 2024,2024-09-24,Bas-Saint-Laurent,14,Kamouraska,MRC,St-Pascal,47.526475,-69.807129 ,expertise-conseil
5,24 septembre 2024,2024-09-24,Bas-Saint-Laurent,10,Rimouski-Neigette,MRC,Rimouski,48.449699,-68.529282 ,représentation
6,24 septembre 2024,2024-09-24,Bas-Saint-Laurent,14,Kamouraska,MRC,St-Pascal,47.526475,-69.807129 ,réseautage
7,26 septembre 2024,2024-09-26,Bas-Saint-Laurent,14,Kamouraska,MRC,St-Pascal,47.526475,-69.807129 ,réseautage
8,30 septembre 2024,2024-09-30,Côte-Nord,971,Sept-Rivières,MRC,Sept-Îles, 50.212064,-66.386261,expertise-conseil
9,1 octobre 2024,2024-10-01,Bas-Saint-Laurent,11,Les Basques,MRC,Trois-Pistoles,48.122789,-69.170265 ,production
10,4 octobre 2024,2024-10-04,Bas-Saint-Laurent,12,Rivière-du-Loup,MRC,Rivière-du-Loup,47.835514,-69.535904 ,expertise-conseil
11,7 octobre 2024,2024-10-07,Bas-Saint-Laurent,10,Rimouski-Neigette,MRC,Rimouski,48.449699,-68.529282 ,expertise-conseil
12,24 octobre 2024,2024-10-24,Bas-Saint-Laurent,10,Rimouski-Neigette,MSP,Rimouski,48.449699,-68.529282 ,représentation
13,28 octobre 2024,2024-10-28,Côte-Nord,971,Sept-Rivières,Environnement Côte-Nord,Sept-Îles, 50.212064,-66.386261,représentation
14,5 novembre 2024,2024-11-05,Bas-Saint-Laurent,07,La Matapédia,MRC,Amqui,48.466548,-67.430134,expertise-conseil
15,5 novembre 2024,2024-11-05,Bas-Saint-Laurent,10,Rimouski-Neigette,MRC,Rimouski,48.449699,-68.529282 ,réseautage
16,19 novembre 2024,2024-11-19,Gaspésie–Îles-de-la-Madeleine,03,La Côte-de-Gaspé,Regroupement des MRC de la Gaspésie,Gaspé,48.831730,-64.484253 ,représentation
17,19 novembre 2024,2024-11-19,Bas-Saint-Laurent,07,La Matapédia,MRC,Amqui,48.466548,-67.430134,expertise-conseil
18,9 décembre 2024,2024-12-09,Côte-Nord,,Agglomération de Québec,Société du Plan Nord,Québec,46.815099,-71.202393 ,expertise-conseil
19,31 janvier 2025,2025-01-31,Lanaudière,,Matawinie,MRC,Rawdon,46.045834,-73.710365 ,production
20,31 janvier 2025,2025-01-31,Chaudière-Appalaches,,Etchemins,MRC,Lac Etchemins,46.398568,-70.507851 ,production
21,7 février 2025,2025-02-07,Bas-Saint-Laurent,10,Rimouski-Neigette,MRC,Rimouski,48.449699,-68.529282 ,réseautage
22,2 avril 2025,2025-04-02,Gaspésie–Îles-de-la-Madeleine,03,La Côte-de-Gaspé,Regroupement des MRC de la Gaspésie,Gaspé,48.831730,-64.484253 ,représentation
23,12 mars 2025,2025-03-12,Bas-Saint-Laurent,07,La Matapédia,MRC,Amqui,48.466548,-67.430134,expertise-conseil
24,20 mai 2025,2025-05-20,Bas-Saint-Laurent,07,La Matapédia,MRC,Amqui,48.466548,-67.430134,expertise-conseil
25,20 mai 2025,2025-05-20,Bas-Saint-Laurent,10,Rimouski-Neigette,MRC,Rimouski,48.449699,-68.529282 ,expertise-conseil
26,29 octobre 2025,2025-10-29,Bas-Saint-Laurent,10,Rimouski-Neigette,UQAR,Rimouski,48.449699,-68.529282 ,expertise-conseil
27,27 mai 2025,2025-05-27,Côte-Nord,971,Sept-Rivières,Environnement Côte-Nord,Sept-Îles, 50.212064,-66.386261,représentation
28,4 juin 2025,2025-04-04,Gaspésie–Îles-de-la-Madeleine,05,Bonaventure,MRC,Bonaventure,48.044460,-65.491672,représentation
